,Unnamed: 0,Star Name,Distance,Mass,Radius
87,87,LHS 2021,55.0,88,1.15
88,88,SDSS J083048.80+012831.1 [de],77.0,46,0.96
89,89,2MASSI J0835425-081923 [de],23.53,62,1.0
90,90,2MASSI J0847287-153237 [de],43.0,64,1.0
91,91,2MASS J08533619-0329321,27.6,77,1.07
92,92,2MASSI J0859254-194926 [de],50.0,50,0.98
94,94,2MASSI J0937347+293142,20.0,42,0.94
95,95,2MASS 0939−2448,17.4,32,0.95
96,96,2MASS J09490860-1545485 [de],59.0,49,0.96
97,97,2MASS J10073369-4555147,46.0,44,0.94
98,98,2MASSI J1010148-040649 [de],55.0,51,0.98
101,101,2MASS J10224821+5825453 [de],60.0,27,1.41
102,102,2MASSW J1036530-344138 [de],53.0,49,0.97
103,103,2MASS J1047538+212423 [de],34.4,42,0.94
104,104,DEN 1048-3956,13.15,77,1.07
105,105,Luhman 16B,6.516,43,1.02
106,106,Luhman 16A,6.516,40,1.01
107,107,DENIS-P J1058.7−1548,49.0,64,1.0
108,108,TWA 28,180.0,36,2.39
109,109,Cha 110913-773444,163.0,8,1.8
111,111,SDSS J111010.01+011613.1,63.0,9,1.24
112,112,2MASS J11145133−2618235,18.2,33,0.96
113,113,TWA 26,137.0,30,2.2
115,115,2MASS J11544223-3400390 [de],129.0,37,1.5
116,116,2MASSW J1155395-372735 [de],31.0,64,1.0
119,119,2MASS J12074836-3900043,217.0,17,1.71
120,120,2MASSI J1217110-031113 [de],36.0,42,0.94
123,123,2M 1237+6526,45.6,41,0.94
125,125,TWA 29,262.0,2.00,25.0
126,126,SDSSp J125453.90-012247.4 [de],38.0,47,0.98
127,127,Kelu-1A,61.0,63,0.98
128,128,Kelu-1B,61.0,58,0.98
129,129,2MASS J13204427+0409045,101.0,67,1.01
130,130,SDSSp J132629.82-003831.5 [de],65.0,51,0.97
131,131,SDSSp J134646.45-003150.4 [de],48.0,44,0.94
132,132,2MASS J13595510-4034582,51.0,63,1.0
133,133,ULAS J141623.94+134836.3,29.7,32,0.96
134,134,SDSS J141659.78+500626.4 [de],149.0,59,0.99
135,135,DENIS-P J142527.97-365023.4 [de],38.0,21,1.32
136,136,LHS 2924,38.5,76,1.06
137,137,2MASS J14392837+1929150,47.0,72,1.03
138,138,LSPM J1440+1339,72.0,92,1.19
139,139,2MASS J14482563+1031590 [de],47.0,59,0.99
140,140,CFBDSIR 1458+10A,104.0,11.1,1.5
141,141,CFBDSIR 1458+10B,104.0,9,1.3
142,142,TVLM 513-46546,35.1,75,1.05
143,143,2MASS 1503+2525,20.7,44,0.94
144,144,CFBDS J150411+102717,71.0,44,0.94
145,145,2MASSW J1506544+132106 [de],46.0,69,1.02
146,146,2MASS 1507−1627,23.9,60,0.99
147,147,TVLM 868-110639,53.0,79,1.08
149,149,2MASSW J1515008+484742 [de],34.0,57,0.99
150,150,2MASSI J1526140+204341 [de],67.0,54,0.98
151,151,DENIS-P J153941.96-052042.4 [de],51.0,63,1.0
152,152,2MASS J15462718-3325111 [de],37.0,44,0.94
153,153,2MASSW J1552591+294849 [de],68.0,30,1.43
154,154,2MASSW J1555157-095605 [de],44.0,71,1.03
155,155,2MASS J16150413+1340079 [de],48.0,42,0.94
156,156,SDSSp J162414.37+002915.6 [de],36.0,43,0.94
157,157,2MASS J16262034+3925190 [de],110.0,71,1.03
158,158,2MASSW J1632291+190441 [de],50.0,49,0.97
159,159,WISEPA J164715.59+563208.2,28.0,41,0.94
160,160,LSPM J1658+7027 [de],60.0,73,1.04
161,161,2MASSI J1726000+153819,114.0,24,1.4
163,163,SDSSp J175032.96+175903.9,90.0,47,0.97
164,164,2MASS J18283572-4849046,39.0,45,0.95
165,165,LSR J1835+3259,18.5,77,1.07
166,166,2MASSW J1841086+311727,138.0,67,1.01
167,167,2MASS J18432213+4040209,46.0,96,1.22
168,168,2MASS J20004841-7523070,105.0,25,1.88
169,169,SDSS J204749.61-071818.3,65.0,46,0.96
170,170,2MASSI J2057540-025230,47.0,70,1.02
172,172,2MASSI J2104149-103736,62.0,69,1.02
173,173,PSO J318.5−22,80.0,6.5,1.53
174,174,HB 2124-4228,113.0,94,1.21
175,175,2MASS J21392676+0220226,32.1,46,0.96
176,176,2MASS J21481628+4003593,26.3,55,0.99
178,178,2MASSW J2206450-421721,93.0,22,1.33
179,179,2MASSW J2208136+292121,154.0,27,1.41
180,180,2MASSW J2224438-015852,38.0,61,0.99
181,181,2MASS J22282889-4310262,35.0,42,0.94
182,182,2MASS J22373255+3922398,64.0,73,1.04
183,183,2MASSW J2244316+204343,56.0,12,1.29
184,184,2MASS J23224684-3133231,56.0,24,1.39
185,185,2MASS J23225299-6151275,148.0,17,1.59
186,186,2MASS J23515044-2537367,67.0,88,1.16
187,187,2MASSI J2356547-155310,74.0,80,1.09
225,225,WISE 0410+1502,20.0,6,1.17
229,229,WISE 0458+6434A,35.9,15,4.2
230,230,WISE 0458+6434B,35.9,10,3.8
284,284,WISE 1405+5534,25.3,30,0.86
